candidate,fixture,solver,status,inventory_weight,residual_weight,factor_weight,impact_bps,adaptive_caps,objective,max_terminal_residual,max_capacity_violation,max_direction_violation,max_latest_start_floor_violation,early_factor_imbalance_pct,urgent_first_trade_max_day,medium_first_trade_min_day,medium_first_trade_max_day,small_first_trade_min_day,small_completion_day5_pct,urgent_median_execution_day,medium_median_execution_day,small_median_execution_day,urgency_median_gap_days,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,peak_daily_gross_pct,passes_global,passes_balance,passes_urgency,passes_ramp,passes_fixture
inventory_1__factor_10__impact_5,urgency_ramp,CLARABEL,optimal,1.0,0.0,10.0,5.0,False,11.698051296434588,1.4210854715202004e-14,0.0,0.0,0.0,4.180568736211588e-15,1.0,6.0,6.0,9.0,0.14994314479922805,6.0,8.0,10.0,4.0,0.9999999999999999,4.6228015901509965,25.9676756455938,9,19.51464377348869,True,True,True,True,True
inventory_1__factor_10__impact_5,factor_balance,CLARABEL,optimal,1.0,0.0,10.0,5.0,False,97.43369927521248,2.842170943040401e-14,1.538484895036163e-10,7.483400541128349e-11,2.5083579657803057e-10,0.16611302709521308,1.0,1.0,1.0,,,6.0,4.0,,,0.06666666666666665,1.003320004267909,53.66777508925719,5,15.33362122776835,True,True,True,True,True
inventory_1__factor_10__impact_20,urgency_ramp,CLARABEL,optimal,1.0,0.0,10.0,20.0,False,12.440302311720918,0.0,0.0,0.0,0.0,2.710526938608629e-15,1.0,5.0,5.0,8.0,3.1221103015989176,6.0,8.0,10.0,4.0,0.9999999999999999,4.296913539209753,27.89912695037254,9,17.85715251691614,True,True,True,True,True
inventory_1__factor_10__impact_20,factor_balance,CLARABEL,optimal,1.0,0.0,10.0,20.0,False,97.79218194645286,1.4210854715202004e-14,1.1665157728657505e-10,4.8311781412920516e-11,1.1664269550237805e-10,0.1657713846870005,1.0,1.0,1.0,,,6.0,4.0,,,0.11515151515151514,1.002388305424847,53.66662379571149,6,15.332180373308626,True,True,True,True,True
inventory_10__factor_0__impact_1,urgency_ramp,CLARABEL,optimal,10.0,0.0,0.0,1.0,False,113.90994144871205,1.4210854715202004e-14,0.0,0.0,0.0,3.436002693770786e-14,2.0,6.0,6.0,10.0,0.018668881551800846,6.0,8.0,10.0,4.0,0.9999999999999999,4.665436046582144,25.03639836022825,9,21.35848624762442,True,True,True,True,True
inventory_10__factor_0__impact_1,factor_balance,CLARABEL,optimal,10.0,0.0,0.0,1.0,False,56.75105081492243,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,49.986170840579305,2.0,6.0,6.0,,,6.0,8.0,,,0.9999999999999999,3.9994427955785756,26.960903408800185,9,15.38461538169403,True,False,True,True,False
inventory_10__factor_0__impact_5,urgency_ramp,CLARABEL,optimal,10.0,0.0,0.0,5.0,False,114.12463421222493,1.4210854715202004e-14,0.0,0.0,0.0,9.474324317777041e-15,2.0,6.0,6.0,10.0,0.021151101382691526,6.0,8.0,10.0,4.0,0.9999999999999999,4.6650495054868495,25.164196409349223,9,21.10321390133589,True,True,True,True,True
inventory_10__factor_0__impact_5,factor_balance,CLARABEL,optimal,10.0,0.0,0.0,5.0,False,56.85083302221718,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,49.97933230460888,2.0,6.0,6.0,,,6.0,8.0,,,0.9999999999999999,3.9991732864012337,27.098348606355522,9,15.38461538243348,True,False,True,True,False
inventory_10__factor_0__impact_20,urgency_ramp,CLARABEL,optimal,10.0,0.0,0.0,20.0,False,114.91855314513758,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,3.658733582071009e-14,2.0,6.0,6.0,9.0,0.029735517692018137,6.0,8.0,10.0,4.0,0.9999999999999999,4.6592545481767464,25.523192285863587,9,20.386439866769077,True,True,True,True,True
inventory_10__factor_0__impact_20,factor_balance,CLARABEL,optimal,10.0,0.0,0.0,20.0,False,57.22317274491306,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,49.909391084316404,2.0,6.0,6.0,,,6.0,8.0,,,0.9999999999999999,3.995744116309656,27.484294375408645,9,15.384615380405478,True,False,True,True,False
