candidate,fixture,date,factor,factor_dollars,normalized_abs_exposure_pct
baseline_physical_residual,urgency_ramp,2026-07-13,sector_it,-1.5987211554602254e-14,2.880726946459808e-15
baseline_physical_residual,urgency_ramp,2026-07-13,industry_banks,-1.5987211554602254e-14,2.880726946459808e-15
baseline_physical_residual,urgency_ramp,2026-07-13,industry_software,-1.5987211554602254e-14,2.880726946459808e-15
baseline_physical_residual,urgency_ramp,2026-07-14,country_HK,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,urgency_ramp,2026-07-14,country_JP,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,urgency_ramp,2026-07-14,sector_financials,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,urgency_ramp,2026-07-14,sector_it,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,urgency_ramp,2026-07-14,industry_banks,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,urgency_ramp,2026-07-14,industry_software,-8.881784197001252e-15,1.5860328923216525e-15
baseline_physical_residual,factor_balance,2026-07-01,country_HK,10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-01,country_JP,-10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-01,sector_financials,10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-01,sector_it,-10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-01,industry_banks,10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-01,industry_software,-10.000000020152108,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,country_HK,20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,country_JP,-20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,sector_financials,20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,sector_it,-20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,industry_banks,20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-02,industry_software,-20.000000028350488,49.99999999999999
baseline_physical_residual,factor_balance,2026-07-03,country_HK,30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-03,country_JP,-30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-03,sector_financials,30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-03,sector_it,-30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-03,industry_banks,30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-03,industry_software,-30.00000000276276,49.999999896349955
baseline_physical_residual,factor_balance,2026-07-06,country_HK,36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-06,country_JP,-36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-06,sector_financials,36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-06,sector_it,-36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-06,industry_banks,36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-06,industry_software,-36.994317700826734,43.01096468187534
baseline_physical_residual,factor_balance,2026-07-07,country_HK,37.80681760150453,30.394663949133783
baseline_physical_residual,factor_balance,2026-07-07,country_JP,-37.806817601504534,30.39466394913379
baseline_physical_residual,factor_balance,2026-07-07,sector_financials,37.80681760150453,30.394663949133783
baseline_physical_residual,factor_balance,2026-07-07,sector_it,-37.806817601504534,30.39466394913379
baseline_physical_residual,factor_balance,2026-07-07,industry_banks,37.80681760150453,30.394663949133783
baseline_physical_residual,factor_balance,2026-07-07,industry_software,-37.806817601504534,30.39466394913379
baseline_physical_residual,factor_balance,2026-07-08,country_HK,38.43748355660863,23.563203560026636
baseline_physical_residual,factor_balance,2026-07-08,country_JP,-38.43748355660864,23.563203560026643
baseline_physical_residual,factor_balance,2026-07-08,sector_financials,38.43748355660863,23.563203560026636
baseline_physical_residual,factor_balance,2026-07-08,sector_it,-38.43748355660864,23.563203560026643
baseline_physical_residual,factor_balance,2026-07-08,industry_banks,38.43748355660863,23.563203560026636
baseline_physical_residual,factor_balance,2026-07-08,industry_software,-38.43748355660864,23.563203560026643
baseline_physical_residual,factor_balance,2026-07-09,country_HK,39.067623946425286,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-09,country_JP,-39.06762394642529,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-09,sector_financials,39.067623946425286,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-09,sector_it,-39.06762394642529,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-09,industry_banks,39.067623946425286,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-09,industry_software,-39.06762394642529,19.3533658370418
baseline_physical_residual,factor_balance,2026-07-10,country_HK,39.861743979349214,16.589946247023896
baseline_physical_residual,factor_balance,2026-07-10,country_JP,-39.86174397934923,16.589946247023903
baseline_physical_residual,factor_balance,2026-07-10,sector_financials,39.861743979349214,16.589946247023896
baseline_physical_residual,factor_balance,2026-07-10,sector_it,-39.86174397934923,16.589946247023903
baseline_physical_residual,factor_balance,2026-07-10,industry_banks,39.861743979349214,16.589946247023896
baseline_physical_residual,factor_balance,2026-07-10,industry_software,-39.86174397934923,16.589946247023903
baseline_physical_residual,factor_balance,2026-07-13,country_HK,39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-13,country_JP,-39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-13,sector_financials,39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-13,sector_it,-39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-13,industry_banks,39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-13,industry_software,-39.99783974623778,15.681177202960313
baseline_physical_residual,factor_balance,2026-07-14,country_HK,39.999999999999986,15.384615384615383
baseline_physical_residual,factor_balance,2026-07-14,country_JP,-39.99999999999998,15.38461538461538
baseline_physical_residual,factor_balance,2026-07-14,sector_financials,39.999999999999986,15.384615384615383
baseline_physical_residual,factor_balance,2026-07-14,sector_it,-39.99999999999998,15.38461538461538
baseline_physical_residual,factor_balance,2026-07-14,industry_banks,39.999999999999986,15.384615384615383
baseline_physical_residual,factor_balance,2026-07-14,industry_software,-39.99999999999998,15.38461538461538
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,country_HK,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,country_JP,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,sector_financials,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,sector_it,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,industry_banks,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-01,industry_software,-6.74807432154978e-16,8.798888620138103e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,country_HK,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,country_JP,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,sector_financials,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,sector_it,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,industry_banks,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-02,industry_software,-3.923944502659538e-15,1.7060033654140122e-14
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-03,country_HK,1.5092094240998222e-15,2.461062896786087e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-03,country_JP,1.5092094240998222e-15,2.461062896786087e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-03,sector_financials,1.5092094240998222e-15,2.461062896786087e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-03,sector_it,1.5092094240998222e-15,2.461062896786087e-15
inventory_0.1__factor_0__impact_1,urgency_ramp,2026-07-03,industry_banks,1.5092094240998222e-15,2.461062896786087e-15
