event_id,as_of,strategy,solver,risk_aversion,forecast_rmse_bps,calibrated_persistent_directional_scale,selected_inventory_risk_weight,selected_forecast_path_risk_weight,forecast_market_pnl_vol_dollars,forecast_error_pnl_vol_dollars,forecast_predictive_pnl_vol_dollars,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_11,2027-07-02 16:00:00,static_open_loop,OSQP,medium,5.333715954722596,0.5523050586418268,2.984837373857986e-08,0.0,4062003.5862334454,573469.3427262325,4102284.756281581,935834.9157920169,1696754.5193045046,313106.82753000176,49668.67559900108,1333979.0161755013,487200000.00000006,27.380521678479088,709231.0505043585,14.557287571928539,3.240566002205014e-07,-0.32121212121212117,0.8650566075462388,52.706649222707014,4.0,1.0,1.0,1.0,4.546928708499887,0.017323560983641073,1.9125143774131446e-05,8.649658411741257e-08
event_11,2027-07-02 16:00:00,forecast_error_risk,OSQP,medium,5.333715954722596,0.5523050586418268,2.984837373857986e-08,2.984837373857986e-08,4058399.042336096,572855.2885632848,4098629.7671867684,934950.74485121,1700394.991157971,312551.92544626805,49659.487790814936,1338183.5779208886,487200000.00000006,27.466822206914784,707562.0214342491,14.523029996597886,3.577879397198558e-07,-0.24848484848484845,0.8734220047370337,52.55198617964507,4.0,1.0,1.0,1.0,4.569847003897146,0.019193544852896594,2.1453995361125756e-05,9.73232090473175e-08
event_12,2027-07-21 16:00:00,static_open_loop,OSQP,medium,2.738849818639705,0.5523050586418268,2.8572097900037556e-08,0.0,3997608.1998327263,566297.1265732676,4037519.505207992,842294.1166826567,-8223187.007342163,306723.12002155365,50586.468110227586,-8580496.595473943,487200000.00000006,-176.11856723058173,9360157.833430015,192.1214662034075,8.93778633326292e-08,0.04242424242424241,1.0227692504066919,48.89959519676258,5.0,1.0,1.0,1.0,3.6015791086110953,0.02022074573324062,9.458878660435426e-06,6.775371730327606e-08
event_12,2027-07-21 16:00:00,forecast_error_risk,OSQP,medium,2.738849818639705,0.5523050586418268,2.8572097900037556e-08,2.8572097900037556e-08,3993452.455358904,565565.082443993,4033302.167665093,841333.4441224111,-8213131.98273353,306361.2027778957,50577.64002234367,-8570070.825533768,487200000.00000006,-175.90457359469966,9347796.77082208,191.867749811619,1.0064104571938515e-07,0.04242424242424241,1.0340071996717632,48.73106204005974,5.0,1.0,1.0,1.0,3.5821496138960023,0.022690604921081103,1.0616148575741858e-05,7.601920515298843e-08
event_13,2027-08-09 16:00:00,static_open_loop,OSQP,medium,3.6803185680242003,0.5523050586418268,3.907770979889986e-08,0.0,3863349.780764098,534663.1067817766,3900171.299607691,181568.66335780625,-2532236.830639657,305536.5456448113,48661.860567267926,-2886435.236851736,487200000.00000006,-59.24538663488784,3190126.4080396146,65.47878505828436,4.1851308196783066e-08,0.7333333333333332,1.5639777377076596,42.96014719932566,6.0,1.0,1.0,6.0,5.593745972455546,0.009064228273928165,1.1168593389786513e-05,3.480818122625351e-08
event_13,2027-08-09 16:00:00,forecast_error_risk,OSQP,medium,3.6803185680242003,0.5523050586418268,3.907770979889986e-08,3.907770979889986e-08,3862673.693825857,533898.5677565386,3899396.843824282,181348.59112852774,-2546340.8047687337,305257.32921783073,48652.339776082066,-2900250.4737626463,487200000.00000006,-59.52895061089175,3204283.258121453,65.7693607988804,3.231980372220278e-08,0.7818181818181817,1.5735572510217481,42.881201737521764,7.0,1.0,1.0,6.0,5.667988155073453,0.007093295542290434,8.756510737629693e-06,2.6659108698368073e-08
event_14,2027-08-26 16:00:00,static_open_loop,OSQP,medium,4.835192180987651,0.5523050586418268,2.4420431734079272e-08,0.0,4044351.4146770034,570590.8258724009,4084403.537356419,642681.7107448467,11244375.684882604,316507.8137554759,49482.502130813016,10878385.368996315,487200000.00000006,223.28377194163207,631851.0000324528,12.969027094262165,7.134804036468267e-08,-0.10303030303030303,0.9054861047442452,49.90968710339943,6.0,1.0,1.0,1.0,4.844293661909083,0.015630264941137284,9.382570416348478e-06,5.192123353481293e-08
event_14,2027-08-26 16:00:00,forecast_error_risk,OSQP,medium,4.835192180987651,0.5523050586418268,2.4420431734079272e-08,2.4420431734079272e-08,4041423.2756969887,570182.8151344238,4081447.1129759843,642097.8456571201,11238810.500547297,316237.7642123822,49473.01202022993,10873099.724314686,487200000.00000006,223.17528169775628,629695.3521245616,12.92478144754847,7.731432560831308e-08,-0.10303030303030303,0.9126118106389682,49.78284208522411,6.0,1.0,1.0,1.0,4.858875932887782,0.016570094958296977,9.954971239008577e-06,5.51808625459671e-08
event_15,2027-09-14 16:00:00,static_open_loop,OSQP,medium,2.89909575599571,0.5523050586418268,4.2418807087331816e-08,0.0,3877334.841655759,547821.0409506524,3915843.8895372152,252142.68624344966,-3971528.8136071465,306112.13771292,49822.394755821595,-4327463.346075888,487200000.00000006,-88.82313928727191,4327463.346075888,88.82313928727191,1.59619958139956e-07,0.4787878787878787,1.3481285102980218,45.186994537366864,5.0,1.0,1.0,2.0,3.6664307609296616,0.006830931539298035,8.34438698186832e-06,8.800998330116272e-08
event_15,2027-09-14 16:00:00,forecast_error_risk,OSQP,medium,2.89909575599571,0.5523050586418268,4.2418807087331816e-08,4.2418807087331816e-08,3875203.5428214767,547281.6206348465,3913658.093214177,251429.50296948006,-3969783.7156439107,306030.9000561078,49813.77830810663,-4325628.394008125,487200000.00000006,-88.78547606749025,4325628.394008125,88.78547606749025,1.5489058569073677e-07,0.4787878787878787,1.3590481050857803,45.07722082715761,5.0,1.0,1.0,2.0,3.7236280475787567,0.0068266639282228425,8.5811801026812e-06,8.335337042808533e-08
