date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,event_id,strategy,policy_id,policy_aggressiveness
2026-01-12,SMALL_BUY,4.582181735710823,274.9309041426494,0.004063185956226841,225.54624794804778,0.2,2.0,35.417818264289174,2125.0690958573505,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,URGENT_BUY,26.89358037878019,1344.6790189390094,0.02612363674332404,205.89461293633178,0.2,1.0,52.754702340644215,2637.735117032211,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,HEDGE_SELL,-25.99019273677838,-1429.4606005228109,0.023009961754012136,225.90383256283855,0.2,1.0,-26.542000136295584,-1459.8100074962572,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,SMALL_BUY,7.625787978244038,457.5472786946423,0.006202057136284357,245.9115680708687,0.2,1.0,27.79203028604514,1667.5218171627084,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,URGENT_BUY,52.75470234064423,2637.7351170322113,0.045239194752872934,233.22564704710632,0.2,0.0,-1.4210854715202004e-14,-7.105427357601002e-13,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,HEDGE_SELL,-26.542000136295595,-1459.8100074962576,0.020945029563159027,253.44437978718622,0.2,0.0,1.4210854715202004e-14,7.815970093361102e-13,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,SMALL_BUY,27.79203028604516,1667.5218171627098,0.020313510073394603,273.630999129446,0.19999999999999998,0.0,-2.1316282072803006e-14,-1.2789769243681803e-12,event_02,forecast_liquidity,policy_0500,0.5
2026-01-02,URGENT_BUY,22.262479923496457,1113.1239961748229,0.023358991300539124,190.6116547334186,0.2,2.0,77.73752007650354,3886.876003825177,event_01,forecast_liquidity,policy_0650,0.65
2026-01-02,HEDGE_SELL,-29.27372022428479,-1610.0546123356635,0.027793218767190764,210.65368836546364,0.2,2.0,-50.72627977571521,-2789.9453876643365,event_01,forecast_liquidity,policy_0650,0.65
2026-01-02,SMALL_BUY,6.116068770905253,366.96412625431515,0.005302454786777814,230.6882007237955,0.2,2.0,33.88393122909475,2033.035873745685,event_01,forecast_liquidity,policy_0650,0.65
2026-01-05,URGENT_BUY,27.65076445347145,1382.5382226735724,0.026988550897022696,204.90736652720253,0.2,1.0,50.08675562303209,2504.3377811516043,event_01,forecast_liquidity,policy_0650,0.65
