candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,930822.2908428032,333060.65562967805,50307.28659550961,547454.3486176155,4582490.287145908,8215684.07706359,11594274.93523373,0.5625,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_0.1__variance_1.92304e-09__path_0,variance,0.0,,0.1,1.9230357116626472e-09,0.0,optimal,927710.3804422498,330891.4295816731,50210.88564054613,546608.0652200306,4488561.868947718,8203380.665589656,11323446.326348083,0.5625,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_0.3__variance_5.76911e-09__path_0,variance,0.0,,0.3,5.7691071349879404e-09,0.0,optimal,915796.946902271,324668.44198903476,50024.65601846222,541103.848894774,4321395.783605739,8140833.2600043705,10854587.594403904,0.578125,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_1__variance_1.92304e-08__path_0,variance,0.0,,1.0,1.923035711662647e-08,0.0,optimal,883175.6318734492,316966.71126818797,49628.701481503456,516580.2191237578,4044416.1498773447,7478169.085580871,10071400.267813582,0.578125,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_3__variance_5.76911e-08__path_0,variance,0.0,,3.0,5.769107134987941e-08,0.0,optimal,828297.0802376065,315789.2895618223,49251.899658058705,463255.8910177255,3831121.057793865,7635917.785514208,9416688.89524175,0.5625,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_10__variance_1.92304e-07__path_0,variance,0.0,,10.0,1.923035711662647e-07,0.0,optimal,807120.1956360324,327206.9418364719,49107.30985292361,430805.94394663686,3786977.4606271554,7740509.117446436,9359179.726301312,0.578125,event_28,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,1.923035711662647e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,902005.0128936687,335758.94297848677,49861.235609824624,516384.8343053573,4302277.925814748,8134965.278813528,10799843.767833713,0.5625,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_0.1__variance_1.92304e-09__path_0,variance,0.0,,0.1,1.9230357116626472e-09,0.0,optimal,898296.3085610301,332803.8520251145,49765.797672515146,515726.65886340046,4217580.422224277,8058045.549802442,10560238.677526351,0.578125,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_0.3__variance_5.76911e-09__path_0,variance,0.0,,0.3,5.7691071349879404e-09,0.0,optimal,889625.0992159632,328178.5178287568,49611.8824862058,511834.69890100055,4091677.6060899585,7916184.14810647,10211688.428364575,0.578125,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_1__variance_1.92304e-08__path_0,variance,0.0,,1.0,1.923035711662647e-08,0.0,optimal,864476.3118973671,322086.77874849597,49280.15604671774,493109.37710215343,3875796.116662539,7289464.54564163,9569371.345737956,0.578125,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_3__variance_5.76911e-08__path_0,variance,0.0,,3.0,5.769107134987941e-08,0.0,optimal,794853.046931239,313006.54039994197,48831.55185182517,433014.95467947185,3633074.346965704,7449091.395890607,8839313.69022238,0.578125,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_10__variance_1.92304e-07__path_0,variance,0.0,,10.0,1.923035711662647e-07,0.0,optimal,771132.2056084734,320973.5396363607,48675.45059403207,401483.2153780806,3588832.150865625,7560897.943201111,8757689.958743028,0.578125,event_28,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,1.923035711662647e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1056377.883992604,341821.6192756601,50644.73008088896,663911.534636055,4827589.621676091,9609158.206365447,11551060.753065364,0.5,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_0.1__variance_2.37551e-09__path_0,variance,0.0,,0.1,2.375508784604258e-09,0.0,optimal,1048005.3371130724,334970.86163073394,50547.37723897079,662487.0982433676,4698900.250238188,9413883.399892574,11127038.263412094,0.5,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_0.3__variance_7.12653e-09__path_0,variance,0.0,,0.3,7.1265263538127735e-09,0.0,optimal,1027726.2097066023,324118.79110209446,50344.891674021805,653262.526930486,4483383.964177552,9032072.872234823,10336568.334940957,0.5,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_1__variance_2.37551e-08__path_0,variance,0.0,,1.0,2.375508784604258e-08,0.0,optimal,967643.9860990191,308804.4076739019,49861.92015747622,608977.658267641,4098565.6666571493,8217765.06912311,8887066.296993077,0.515625,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_3__variance_7.12653e-08__path_0,variance,0.0,,3.0,7.126526353812773e-08,0.0,optimal,888002.5197518686,311053.0000548658,49280.55043417313,527668.9692628297,3836752.9698405815,7696391.107670675,8318712.463743293,0.515625,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_10__variance_2.37551e-07__path_0,variance,0.0,,10.0,2.375508784604258e-07,0.0,optimal,865421.7333396015,329663.63517803414,49113.126677396,486644.97148417146,3785008.7816559295,7617468.4213232435,8427230.351550248,0.515625,event_29,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.375508784604258e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1012904.901817298,343008.5112163624,50148.04372159509,619748.3468793405,4510701.128405288,8807528.423463158,10529414.49086158,0.5,event_29,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.375508784604258e-08
