candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,-116858.67324992434,299680.02347856166,48399.26840639583,-464937.9651348818,3661305.670051643,6410820.252833217,8128553.197958055,0.4375,event_99,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,-127566.07120341389,307731.9707213058,48515.02677060192,-483813.0686953216,3609882.210674331,6537516.177461246,8081904.067139476,0.4375,event_99,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,2322640.3023165567,374991.64633567096,51045.56393376617,1896603.0920471195,4904990.860110004,8683345.842967179,10965750.243039904,0.625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_0.1__variance_4.95887e-09__path_0,variance,0.0,,0.1,4.958874012952753e-09,0.0,optimal,2318821.197274263,372606.3197954922,51011.56226246228,1895203.3152163087,4854125.197819216,8653967.52362093,10863250.427782748,0.625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_0.3__variance_1.48766e-08__path_0,variance,0.0,,0.3,1.4876622038858255e-08,0.0,optimal,2292511.57918891,361759.9949583173,50826.29363609441,1879925.2905944982,4698790.437145086,8426563.563662158,10560458.31208493,0.625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_1__variance_4.95887e-08__path_0,variance,0.0,,1.0,4.958874012952752e-08,0.0,optimal,2094269.584284764,321020.1850326002,49984.784489103935,1723264.61476306,4121893.7671541814,7240419.656256954,8926422.58010566,0.625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_3__variance_1.48766e-07__path_0,variance,0.0,,3.0,1.4876622038858256e-07,0.0,optimal,1909775.6957417259,326161.8358085492,49202.911090060865,1534410.9488431157,3803384.764948016,6064124.141297036,8234147.742498621,0.640625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_10__variance_4.95887e-07__path_0,variance,0.0,,10.0,4.958874012952752e-07,0.0,optimal,1887328.928087835,337212.0828968183,49082.66142193675,1501034.18376908,3782821.6373426174,6182876.650094996,8201613.098468539,0.640625,event_100,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,4.958874012952752e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,2229335.0846055495,376151.49404263496,50520.520586225495,1802663.069976689,4537867.730780818,8031587.460630538,10219290.855880992,0.625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_0.1__variance_4.95887e-09__path_0,variance,0.0,,0.1,4.958874012952753e-09,0.0,optimal,2228039.2235017023,375423.4101883406,50508.17865372092,1802107.6346596407,4515492.915769938,8000933.671095189,10173913.154873896,0.625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_0.3__variance_1.48766e-08__path_0,variance,0.0,,0.3,1.4876622038858255e-08,0.0,optimal,2215051.17797724,369504.55780742364,50403.46580525159,1795143.154364565,4437683.554661488,7964451.51968931,10034295.661394391,0.625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_1__variance_4.95887e-08__path_0,variance,0.0,,1.0,4.958874012952752e-08,0.0,optimal,2043677.3812322968,328744.47990630765,49700.353883032534,1665232.5474429566,3978955.06959376,6939585.818605033,8756720.183783276,0.625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_3__variance_1.48766e-07__path_0,variance,0.0,,3.0,1.4876622038858256e-07,0.0,optimal,1817820.4212060804,319401.4098799903,48785.77053905721,1449633.2407870328,3610042.6096382104,5579885.058534988,7893137.863233546,0.640625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_10__variance_4.95887e-07__path_0,variance,0.0,,10.0,4.958874012952752e-07,0.0,optimal,1788388.6466029403,327048.51574723085,48644.224773831476,1412695.9060818779,3585164.101489849,5660577.209408162,7810612.509581114,0.640625,event_100,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,4.958874012952752e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1319785.078919618,351115.9910286836,50730.78419044603,917938.3037004883,4837894.708606369,8253722.575900832,9401027.880506026,0.578125,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_0.1__variance_2.82734e-09__path_0,variance,0.0,,0.1,2.827343134065385e-09,0.0,optimal,1315480.0842576735,348444.32961902086,50664.13887920629,916371.6157594463,4717821.867954882,7848538.557611373,9024193.209656274,0.5625,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_0.3__variance_8.48203e-09__path_0,variance,0.0,,0.3,8.482029402196154e-09,0.0,optimal,1298221.34514835,339928.4131302595,50500.008337006926,907792.9236810837,4542870.348353169,7353662.151676349,8725588.338134006,0.5625,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_1__variance_2.82734e-08__path_0,variance,0.0,,1.0,2.8273431340653847e-08,0.0,optimal,1201757.1103777646,312039.892692276,49821.397453205675,839895.8202322829,4079362.5575983203,6225404.587921655,8097453.734052094,0.59375,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_3__variance_8.48203e-08__path_0,variance,0.0,,3.0,8.482029402196155e-08,0.0,optimal,1124100.5977073584,318350.18199213274,49222.025937207676,756528.3897780181,3831637.9952022973,5415301.119001169,7983485.862202106,0.609375,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_10__variance_2.82734e-07__path_0,variance,0.0,,10.0,2.8273431340653846e-07,0.0,optimal,1082619.3054826881,330290.41695907013,49086.9142133639,703241.9743102541,3783991.196686939,5287791.248782312,7989108.05028214,0.625,event_101,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,2.8273431340653847e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1260848.897691451,347783.02398169716,50204.765318894446,862861.1083908594,4481895.280663244,7285189.448248864,8700673.571967125,0.578125,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_0.1__variance_2.82734e-09__path_0,variance,0.0,,0.1,2.827343134065385e-09,0.0,optimal,1258008.5325783985,345972.75338858034,50160.67705328412,861875.1021365339,4400867.57653304,6827548.217660821,8529045.702235496,0.5625,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_0.3__variance_8.48203e-09__path_0,variance,0.0,,0.3,8.482029402196154e-09,0.0,optimal,1247145.2324902457,340959.8467559948,50054.26587283393,856131.1198614171,4278314.322546452,6709236.312974234,8312624.902567317,0.578125,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_1__variance_2.82734e-08__path_0,variance,0.0,,1.0,2.8273431340653847e-08,0.0,optimal,1167540.4550217208,316682.39553157275,49491.50204375553,801366.5574463926,3910719.4043988693,5817681.5643225545,7811689.0285200905,0.59375,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_3__variance_8.48203e-08__path_0,variance,0.0,,3.0,8.482029402196155e-08,0.0,optimal,1073064.866977875,313492.5137421179,48799.3230178041,710773.0302179529,3634123.7605801565,5165820.273967306,7666781.43527353,0.625,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_10__variance_2.82734e-07__path_0,variance,0.0,,10.0,2.8273431340653846e-07,0.0,optimal,1028621.5951635195,321923.5520049337,48644.04213741618,658054.0010211696,3585778.9851533114,5032468.5754699875,7670102.125021427,0.625,event_101,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,2.8273431340653847e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1416389.6089606797,346020.42732114845,50703.23626138476,1019665.9453781464,4819063.663894086,10498825.624967305,11498637.276544556,0.5625,event_102,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,3.0023526091194015e-08
variance__multiplier_0.1__variance_3.00235e-09__path_0,variance,0.0,,0.1,3.0023526091194016e-09,0.0,optimal,1407271.2185709386,338886.3520317842,50585.26422685491,1017799.6023122995,4686741.793441595,10258371.24313594,11348007.755537406,0.5625,event_102,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,3.0023526091194015e-08
variance__multiplier_0.3__variance_9.00706e-09__path_0,variance,0.0,,0.3,9.007057827358204e-09,0.0,optimal,1380274.219481563,325304.7220955161,50315.918552760326,1004653.5788332867,4438707.048617129,9291262.463719424,11386300.141917411,0.578125,event_102,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,3.0023526091194015e-08
variance__multiplier_1__variance_3.00235e-08__path_0,variance,0.0,,1.0,3.0023526091194015e-08,0.0,optimal,1306707.0080079173,308870.3591587019,49758.623500686226,948078.0253485291,4035854.1024584663,8878256.32135964,10882526.4398529,0.578125,event_102,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,3.0023526091194015e-08
