event_id,date,day_index,strategy,specific_risk_fraction,raw_factor_variance_dollars2,raw_specific_variance_dollars2,priced_specific_variance_dollars2,total_priced_variance_dollars2,raw_specific_variance_share
event_103,2032-02-03,1,systematic_first,0.5,387473979.8499881,14826772548.869633,7413386274.434816,7800860254.284804,0.9745321610821435
event_103,2032-02-04,2,systematic_first,0.5,2219335687.414734,68846010528.33643,34423005264.16821,36642340951.58295,0.9687704935584648
event_103,2032-02-05,3,systematic_first,0.5,7205637950.671199,183808139876.52435,91904069938.26218,99109707888.93338,0.9622768680215836
event_103,2032-02-06,4,systematic_first,0.5,17943605415.984383,387882993800.0586,193941496900.0293,211885102316.01367,0.9557850435367051
event_103,2032-02-09,5,systematic_first,0.5,45260475264.975525,690267458460.8627,345133729230.43134,390394204495.40686,0.938465321044019
event_103,2032-02-10,6,systematic_first,0.5,100221816311.12202,1096799417230.6681,548399708615.33405,648621524926.456,0.9162739862060909
event_103,2032-02-11,7,systematic_first,0.5,226742751484.93582,1507206168781.1487,753603084390.5743,980345835875.5101,0.86923331544845
event_103,2032-02-12,8,systematic_first,0.5,492621994811.47833,1909119906527.7502,954559953263.8751,1447181948075.3535,0.7948897029540148
event_103,2032-02-13,9,systematic_first,0.5,1064045745080.4569,2393615394294.5664,1196807697147.2832,2260853442227.74,0.6922643075218226
event_103,2032-02-16,10,systematic_first,0.5,2205519120000.0054,2875439160000.005,1437719580000.0024,3643238700000.008,0.5659245759443629
event_104,2032-02-20,1,static_open_loop,1.0,455288238.78643596,17508377211.427284,17508377211.427284,17963665450.21372,0.9746550479884929
event_104,2032-02-23,2,static_open_loop,1.0,2410765426.0520697,78123759346.24635,78123759346.24635,80534524772.29842,0.9700654417112635
event_104,2032-02-24,3,static_open_loop,1.0,8026239289.214058,200774941696.55844,200774941696.55844,208801180985.7725,0.9615603740777646
event_104,2032-02-25,4,static_open_loop,1.0,23446978778.92448,416362523248.99176,416362523248.99176,439809502027.91626,0.9466883305821887
event_104,2032-02-26,5,static_open_loop,1.0,55482763567.132645,739960418980.8243,739960418980.8243,795443182547.957,0.9302492437116492
event_104,2032-02-27,6,static_open_loop,1.0,112964334196.78178,1159318503753.4456,1159318503753.4456,1272282837950.2273,0.9112113039434074
event_104,2032-03-01,7,static_open_loop,1.0,245482890237.18683,1616625470496.811,1616625470496.811,1862108360733.9978,0.8681693850832487
event_104,2032-03-02,8,static_open_loop,1.0,662089276446.5122,2036785429040.9294,2036785429040.9294,2698874705487.4414,0.7546795058324381
event_104,2032-03-03,9,static_open_loop,1.0,1301325793458.7256,2487374398336.0244,2487374398336.0244,3788700191794.75,0.6565244734125365
event_104,2032-03-04,10,static_open_loop,1.0,2205519119998.8306,2875439159999.846,2875439159999.846,5080958279998.677,0.5659245759444801
event_104,2032-02-20,1,full_specific_control,1.0,115878366.38831273,11204727170.54045,11204727170.54045,11320605536.928762,0.9897639427493248
event_104,2032-02-23,2,full_specific_control,1.0,714698112.1846673,53716052543.042114,53716052543.042114,54430750655.22678,0.9868695892747891
event_104,2032-02-24,3,full_specific_control,1.0,2807770433.177175,147441078961.97223,147441078961.97223,150248849395.1494,0.9813125328780865
event_104,2032-02-25,4,full_specific_control,1.0,8604899370.075693,320893317414.16943,320893317414.16943,329498216784.2451,0.9738848378177714
event_104,2032-02-26,5,full_specific_control,1.0,20967084593.687046,596045560161.967,596045560161.967,617012644755.654,0.9660183875129653
event_104,2032-02-27,6,full_specific_control,1.0,44682960821.25032,984524698351.8773,984524698351.8773,1029207659173.1277,0.9565850871561246
event_104,2032-03-01,7,full_specific_control,1.0,114953160790.82614,1438499052990.4673,1438499052990.4673,1553452213781.2935,0.9260014825232273
event_104,2032-03-02,8,full_specific_control,1.0,438421134550.8543,1868427819603.8767,1868427819603.8767,2306848954154.731,0.8099480532692704
event_104,2032-03-03,9,full_specific_control,1.0,1087806019208.9438,2367009310882.7437,2367009310882.7437,3454815330091.6875,0.6851333818817822
event_104,2032-03-04,10,full_specific_control,1.0,2205519119999.9966,2875439160000.002,2875439160000.002,5080958279999.998,0.5659245759443636
event_104,2032-02-20,1,systematic_first,0.5,257414223.55597225,16055934407.422323,8027967203.711162,8285381427.267134,0.9842206386083631
event_104,2032-02-23,2,systematic_first,0.5,1579001986.5306497,76177409766.1965,38088704883.09825,39667706869.6289,0.9796929674230335
event_104,2032-02-24,3,systematic_first,0.5,4509038789.507388,200761747611.46954,100380873805.73477,104889912595.24216,0.9780337043153359
event_104,2032-02-25,4,systematic_first,0.5,10600725406.90303,414425151317.7285,207212575658.86426,217813301065.76727,0.9750586352798206
event_104,2032-02-26,5,systematic_first,0.5,23256957209.97081,727811482288.0745,363905741144.03723,387162698354.00806,0.9690348362587118
event_104,2032-02-27,6,systematic_first,0.5,53248239108.63742,1140343001252.0178,570171500626.0089,623419739734.6464,0.95538821222201
event_104,2032-03-01,7,systematic_first,0.5,152407688642.57947,1577134649674.8687,788567324837.4343,940975013480.0138,0.91187975843896
event_104,2032-03-02,8,systematic_first,0.5,511809789795.66455,1970802659468.9316,985401329734.4658,1497211119530.1304,0.7938422527659226
event_104,2032-03-03,9,systematic_first,0.5,1179422155259.1748,2454638419462.2246,1227319209731.1123,2406741364990.287,0.6754533583002826
event_104,2032-03-04,10,systematic_first,0.5,2205519119999.997,2875439160000.001,1437719580000.0005,3643238699999.9976,0.5659245759443634
event_105,2032-03-10,1,static_open_loop,1.0,376180513.69785917,19349647969.837563,19349647969.837563,19725828483.535423,0.9809295455442164
event_105,2032-03-11,2,static_open_loop,1.0,2210550639.012788,84242225680.62431,84242225680.62431,86452776319.6371,0.974430541931472
event_105,2032-03-12,3,static_open_loop,1.0,8344886975.343056,209954943331.93054,209954943331.93054,218299830307.2736,0.9617732777730656
event_105,2032-03-15,4,static_open_loop,1.0,25627809327.44614,429864286829.32153,429864286829.32153,455492096156.7677,0.9437359955448584
event_105,2032-03-16,5,static_open_loop,1.0,66398820466.85732,749768852749.6212,749768852749.6212,816167673216.4785,0.9186456133392509
event_105,2032-03-17,6,static_open_loop,1.0,162119569187.67355,1150470977642.6392,1150470977642.6392,1312590546830.3127,0.8764888490328037
event_105,2032-03-18,7,static_open_loop,1.0,368339765019.9707,1604885663237.7544,1604885663237.7544,1973225428257.725,0.8133311279364572
event_105,2032-03-19,8,static_open_loop,1.0,858168484483.3425,2046371918305.8154,2046371918305.8154,2904540402789.158,0.7045424179125672
event_105,2032-03-22,9,static_open_loop,1.0,1499613127455.602,2453196823768.556,2453196823768.556,3952809951224.158,0.620620989635188
event_105,2032-03-23,10,static_open_loop,1.0,2205519119999.89,2875439159999.9897,2875439159999.9897,5080958279999.88,0.5659245759443744
event_105,2032-03-10,1,full_specific_control,1.0,60364635.04439209,11620012715.7495,11620012715.7495,11680377350.793892,0.9948319619108633
event_105,2032-03-11,2,full_specific_control,1.0,403103004.713275,54548425589.32908,54548425589.32908,54951528594.04235,0.9926643895988551
event_105,2032-03-12,3,full_specific_control,1.0,1720896086.999495,145606271582.5406,145606271582.5406,147327167669.54007,0.988319220994871
event_105,2032-03-15,4,full_specific_control,1.0,5721173365.269575,317262170636.68604,317262170636.68604,322983344001.9556,0.9822864755365374
event_105,2032-03-16,5,full_specific_control,1.0,16603016762.049026,584193061002.2655,584193061002.2655,600796077764.3146,0.9723649714494936
event_105,2032-03-17,6,full_specific_control,1.0,52434897457.46633,948485296860.747,948485296860.747,1000920194318.2133,0.9476133084784218
event_105,2032-03-18,7,full_specific_control,1.0,155658981299.3883,1397084892722.2847,1397084892722.2847,1552743874021.6729,0.8997523133701215
event_105,2032-03-19,8,full_specific_control,1.0,482006683075.5279,1843277472162.292,1843277472162.292,2325284155237.82,0.7927106319501711
event_105,2032-03-22,9,full_specific_control,1.0,1092450672541.7202,2295964055488.738,2295964055488.738,3388414728030.458,0.6775923963780208
event_105,2032-03-23,10,full_specific_control,1.0,2205519119999.999,2875439159999.998,2875439159999.998,5080958279999.997,0.565924575944363
event_105,2032-03-10,1,systematic_first,0.5,96382077.80966076,15546378277.83829,7773189138.919145,7869571216.728806,0.9938385505103733
event_105,2032-03-11,2,systematic_first,0.5,674369558.7522131,72525691503.83914,36262845751.91957,36937215310.67178,0.9907873087950626
event_105,2032-03-12,3,systematic_first,0.5,2874131214.9671507,190966426810.42682,95483213405.21341,98357344620.18056,0.9851727045967819
event_105,2032-03-15,4,systematic_first,0.5,7409938112.586168,397953167413.99023,198976583706.99512,206386521819.5813,0.9817202453514844
