candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,policy_id,policy_aggressiveness
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.02614951061228,3.0672202318038035,1.1800000000000006,0.7789292788084756,173.33475852891397,-0.5162975167647179,-0.5162975167647179,1.0,event_02,forecast_liquidity,policy_0650,0.65
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.234703300809787,4.332143793758096,1.1800000000000002,-1.2774404929483087,165.13933315759215,1.5355968463082315,1.5355968463082315,0.0,event_02,forecast_liquidity,policy_0650,0.65
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.235825472128008,2.794702296753783,1.1800000000000004,3.261123175374224,228.4785395224079,-2.357092446264979,-2.357092446264979,1.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,7.07812512130627,2.670931016001751,1.1800000000000004,3.227194105304519,223.0275765394838,-2.382779594562944,-2.382779594562944,1.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.739964220219804,2.492322115246429,1.1800000000000002,3.0676421049733746,211.8315634095987,-2.361856396020515,-2.361856396020515,1.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.993205578539152,2.47391498921232,1.1800000000000002,2.3392905893268323,191.24677634715042,-1.8919462887809078,-1.8919462887809078,1.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.094408844340329,3.1045029976053753,1.1800000000000002,0.8099058467349534,174.23341257206002,-0.5479955249303785,-0.5479955249303785,1.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.26786658505429,4.444041739255401,1.1800000000000002,-1.3561751542011113,165.36536502453967,1.6093466008491069,1.6093466008491069,0.0,event_01,forecast_liquidity,policy_0800,0.8
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.235825472128008,2.794702296753783,1.1800000000000004,3.261123175374224,228.4785395224079,-2.357092446264979,-2.357092446264979,1.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,7.07812512130627,2.670931016001751,1.1800000000000004,3.227194105304519,223.0275765394838,-2.382779594562944,-2.382779594562944,1.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.739964220219804,2.492322115246429,1.1800000000000002,3.0676421049733746,211.8315634095987,-2.361856396020515,-2.361856396020515,1.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.993205578539152,2.47391498921232,1.1800000000000002,2.3392905893268323,191.24677634715042,-1.8919462887809078,-1.8919462887809078,1.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.094408844340329,3.1045029976053753,1.1800000000000002,0.8099058467349534,174.23341257206002,-0.5479955249303785,-0.5479955249303785,1.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.26786658505429,4.444041739255401,1.1800000000000002,-1.3561751542011113,165.36536502453967,1.6093466008491069,1.6093466008491069,0.0,event_02,forecast_liquidity,policy_0800,0.8
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.365468748845045,2.9027343740938565,1.18,3.2827343747511897,231.98922068762604,-2.371390625353918,-2.371390625353918,1.0,event_01,forecast_liquidity,policy_1000,1.0
